CDR_ID,IMEI,Phone_Number,Operator,Location,Timestamp,Call_Duration,Data_Used_MB,IP_Address
CDR_000000,IMEI_1,9890866412,BSNL,Pune,2026-09-05 17:46:30.904573,1772,151,191.136.2.25
CDR_000001,IMEI_V3,9836149166,Jio,Kolkata,2026-09-07 19:46:30.904573,3237,22,13.145.114.162
CDR_000002,IMEI_V2,9816041762,BSNL,Hyderabad,2026-09-13 02:46:30.904573,933,440,170.219.129.153
CDR_000003,IMEI_V2,9830917076,BSNL,Hyderabad,2026-09-20 16:46:30.904573,2385,233,114.64.140.249
CDR_000004,IMEI_V3,9877994816,Vodafone,Kolkata,2026-09-10 17:46:30.904573,2087,388,36.41.254.243
CDR_000005,IMEI_V1,9860201421,BSNL,Delhi,2026-09-03 02:46:30.904573,604,74,175.214.37.235
CDR_000006,IMEI_V3,9864102841,Vodafone,Chennai,2026-08-25 13:46:30.904573,253,348,139.131.243.135
CDR_000007,IMEI_V2,9886915948,Airtel,Chennai,2026-09-14 07:46:30.904573,680,191,89.41.213.43
CDR_000008,IMEI_V2,9899475353,Airtel,Delhi,2026-08-29 10:46:30.904573,2766,279,24.233.64.33
CDR_000009,IMEI_V3,9829067469,Vodafone,Kolkata,2026-08-26 11:46:30.904573,601,318,199.104.51.57
CDR_000010,IMEI_V1,9870960332,BSNL,Delhi,2026-09-14 00:46:30.904573,624,487,211.220.16.219
CDR_000011,IMEI_V1,9818243719,Airtel,Pune,2026-09-05 07:46:30.904573,2609,101,220.184.87.214
CDR_000012,IMEI_V2,9862649309,Airtel,Chennai,2026-08-23 23:46:30.904573,2401,390,126.101.99.224
CDR_000013,IMEI_V3,9841490509,Jio,Bangalore,2026-09-18 19:46:30.904573,1211,259,39.97.226.234
CDR_000014,IMEI_V2,9841601415,Jio,Pune,2026-09-20 13:46:30.904573,1349,373,160.1.21.30
CDR_000015,IMEI_V3,9839958550,BSNL,Hyderabad,2026-09-13 01:46:30.904573,269,480,49.170.34.254
CDR_000016,IMEI_V3,9896129736,Airtel,Chennai,2026-09-13 14:46:30.904573,1114,379,163.177.208.150
CDR_000017,IMEI_V1,9872559407,Airtel,Hyderabad,2026-09-01 20:46:30.904573,2042,188,236.35.217.175
CDR_000018,IMEI_V1,9846857864,Vodafone,Chennai,2026-09-20 01:46:30.904573,2095,16,218.204.207.183
CDR_000019,IMEI_V1,9820501803,Vodafone,Chennai,2026-09-02 03:46:30.904573,208,50,115.226.243.162
CDR_000020,IMEI_V1,9857921512,BSNL,Delhi,2026-08-27 15:46:30.904573,3086,260,249.16.148.75
CDR_000021,IMEI_3,9819105615,Vodafone,Bangalore,2026-09-03 14:46:30.904573,2416,428,234.125.207.84
CDR_000022,IMEI_V3,9880993810,BSNL,Hyderabad,2026-08-27 02:46:30.904573,1386,373,124.84.111.20
CDR_000023,IMEI_V2,9844991267,Airtel,Hyderabad,2026-09-10 17:46:30.904573,1093,124,12.81.236.147
CDR_000024,IMEI_V3,9872799623,BSNL,Bangalore,2026-09-03 15:46:30.904573,109,396,174.95.84.167
CDR_000025,IMEI_V3,9894587655,Jio,Delhi,2026-09-10 17:46:30.904573,3326,339,170.18.42.117
CDR_000026,IMEI_4,9848071558,Airtel,Bangalore,2026-08-29 06:46:30.904573,279,474,213.54.43.4
CDR_000027,IMEI_V3,9832317127,Jio,Delhi,2026-08-27 13:46:30.904573,969,279,193.9.243.18
CDR_000028,IMEI_1,9812559389,Airtel,Mumbai,2026-09-05 12:46:30.904573,359,301,75.228.58.12
CDR_000029,IMEI_V2,9863885365,BSNL,Bangalore,2026-08-30 08:46:30.904573,916,468,103.153.30.99
